84,국제대학교,http://www.kookje.ac.kr,kookje.ac.kr
85,국제사이버대학교,http://www.gjcu.ac.kr,gjcu.ac.kr
86,국제예술대학교,http://kua.ac.kr/,kua.ac.kr
87,군산간호대학교,http://www.kcn.ac.kr,kcn.ac.kr
88,군산대학교,http://kunsan.ac.kr,kunsan.ac.kr
89,군장대학교,http://www.kunjang.ac.kr,kunjang.ac.kr
90,극동대학교,http://www.kdu.ac.kr,kdu.ac.kr
91,글로벌사이버대학교,http://www.global.ac.kr,global.ac.kr
92,금강대학교,http://www.ggu.ac.kr,ggu.ac.kr
93,금오공과대학교,http://www.kumoh.ac.kr,kumoh.ac.kr
94,기독간호대학교,http://ccn.ac.kr,ccn.ac.kr
95,김천대학교,http://www.gimcheon.ac.kr,gimcheon.ac.kr
96,김포대학교,http://www.kimpo.ac.kr,kimpo.ac.kr
97,김해대학교,http://www.gimhae.ac.kr,gimhae.ac.kr
98,꽃동네대학교,http://www.kkot.ac.kr,kkot.ac.kr
99,나사렛대학교,http://www.kornu.ac.kr,kornu.ac.kr
100,남부대학교,http://www.nambu.ac.kr,nambu.ac.kr
101,남서울대학교,http://www.nsu.ac.kr,nsu.ac.kr
102,농협대학교,http://www.nonghyup.ac.kr,nonghyup.ac.kr
103,단국대학교,http://www.dankook.ac.kr,dankook.ac.kr
104,단국대학교,http://www.dankook.ac.kr,dankook.ac.kr
105,대경대학교,http://www.tk.ac.kr,tk.ac.kr
106,대구가톨릭대학교,http://www.cu.ac.kr,cu.ac.kr
107,대구경북과학기술원,http://www.dgist.ac.kr,dgist.ac.kr
108,대구공업대학교,http://www.ttc.ac.kr,ttc.ac.kr
109,대구과학대학교,http://www.tsu.ac.kr,tsu.ac.kr
110,대구교육대학교,http://www.dnue.ac.kr,dnue.ac.kr
111,대구대학교,http://www.daegu.ac.kr,daegu.ac.kr
112,대구보건대학교,http://www.dhc.ac.kr,dhc.ac.kr
113,대구사이버대학교,http://www.dcu.ac.kr,dcu.ac.kr
114,대구예술대학교,http://www.dgau.ac.kr,dgau.ac.kr
115,대구한의대학교,http://www.dhu.ac.kr,dhu.ac.kr
116,대덕대학교,http://www.ddc.ac.kr/msi/intro.do,ddc.ac.kr
117,대동대학교,http://www.daedong.ac.kr,daedong.ac.kr
118,대림대학교,http://www.daelim.ac.kr,daelim.ac.kr
119,대신대학교,http://www.daeshin.ac.kr,daeshin.ac.kr
120,대우조선해양공과대학,null,\N
121,대원대학교,http://www.daewon.ac.kr,daewon.ac.kr
122,대전가톨릭대학교,http://www.dcatholic.ac.kr/,dcatholic.ac.kr
123,대전과학기술대학교,http://www.dst.ac.kr/index.php,dst.ac.kr
124,대전대학교,http://www.dju.ac.kr,dju.ac.kr
125,대전보건대학교,http://www.hit.ac.kr,hit.ac.kr
126,대전신학대학교,http://www.daejeon.ac.kr,daejeon.ac.kr
127,대진대학교,http://www.daejin.ac.kr,daejin.ac.kr
128,덕성여자대학교,http://www.duksung.ac.kr,duksung.ac.kr
129,동강대학교,http://www.dkc.ac.kr,dkc.ac.kr
130,동국대학교,http://web.dongguk.ac.kr,dongguk.edu
131,동국대학교,http://www.dongguk.edu,dongguk.edu
132,동남보건대학교,http://www.dongnam.ac.kr,dongnam.ac.kr
133,동덕여자대학교,http://www.dongduk.ac.kr,dongduk.ac.kr
134,동명대학교,http://www.tu.ac.kr,tu.ac.kr
135,동부산대학교,http://www.dpc.ac.kr,dpc.ac.kr
136,동서대학교,http://www.dongseo.ac.kr,dongseo.ac.kr
137,동서울대학교,http://www.du.ac.kr,du.ac.kr
138,동신대학교,http://www.dsu.ac.kr,dsu.ac.kr
139,동아대학교,http://www.donga.ac.kr,donga.ac.kr
140,동아방송예술대학교,http://www.dima.ac.kr,dima.ac.kr
141,동아보건대학교,http://www.dongac.ac.kr,dongac.ac.kr
142,동양대학교,http://www.dyu.ac.kr,dyu.ac.kr
143,동양미래대학교,http://www.dongyang.ac.kr/,dongyang.ac.kr
144,동원과학기술대학교,http://www.dist.ac.kr,dist.ac.kr
145,동원대학교,http://www.tw.ac.kr,tw.ac.kr
146,동의과학대학교,http://www.dit.ac.kr,dit.ac.kr
147,동의대학교,http://www.deu.ac.kr,deu.ac.kr
148,동주대학교,http://www.dongju.ac.kr,dongju.ac.kr
149,두원공과대학교,http://www.doowon.ac.kr/main.do,doowon.ac.kr
150,디지털서울문화예술대학교,http://www.scau.ac.kr,scau.ac.kr
151,루터대학교,http://www.ltu.ac.kr,ltu.ac.kr
152,마산대학교,http://www.masan.ac.kr,masan.ac.kr
153,명지대학교,http://www.mju.ac.kr,mju.ac.kr
154,명지대학교,http://www.mju.ac.kr,mju.ac.kr
155,명지전문대학,http://www.mjc.ac.kr,mjc.ac.kr
156,목원대학교,http://www.mokwon.ac.kr,mokwon.ac.kr
157,목포가톨릭대학교,http://www.mcu.ac.kr,mcu.ac.kr
158,목포과학대학교,http://www.mokpo-c.ac.kr,mokpo-c.ac.kr
159,목포대학교,http://www.mokpo.ac.kr,mokpo.ac.kr
160,목포해양대학교,http://www.mmu.ac.kr,mmu.ac.kr
161,문경대학교,http://www.mkc.ac.kr,mkc.ac.kr
162,배재대학교,http://www.pcu.ac.kr,pcu.ac.kr
163,배화여자대학교,http://www.baewha.ac.kr,baewha.ac.kr
164,백석대학교,http://www.bu.ac.kr,bu.ac.kr
165,백석문화대학교,http://www.bscu.ac.kr,bscu.ac.kr
166,백석예술대학교,http://www.bau.ac.kr,bau.ac.kr
167,백제예술대학교,http://www.paekche.ac.kr,paekche.ac.kr
168,부경대학교,http://www.pknu.ac.kr,pknu.ac.kr
169,부산가톨릭대학교,http://www.cup.ac.kr,cup.ac.kr
170,부산경상대학교,http://www.bsks.ac.kr,bsks.ac.kr
171,부산과학기술대학교,http://bist.ac.kr,bist.ac.kr
172,부산교육대학교,http://www.bnue.ac.kr/,bnue.ac.kr
173,부산대학교,http://www.pusan.ac.kr,pusan.ac.kr
174,부산디지털대학교,http://www.bdu.ac.kr,bdu.ac.kr
175,부산여자대학교,http://www.bwc.ac.kr,bwc.ac.kr
176,부산예술대학교,http://www.busanarts.ac.kr,busanarts.ac.kr
177,부산외국어대학교,http://www.bufs.ac.kr,bufs.ac.kr
178,부산장신대학교,http://www.bpu.ac.kr,bpu.ac.kr
179,부천대학교,http://www.bc.ac.kr,bc.ac.kr
180,사이버한국외국어대학교,http://www.cufs.ac.kr,cufs.ac.kr
181,삼성전자공과대학교,null,\N
182,삼성중공업공과대학,null,\N
183,삼육대학교,http://www.syu.ac.kr,syu.ac.kr
184,삼육보건대학교,http://www.shu.ac.kr,shu.ac.kr
185,상명대학교,http://www.smuc.ac.kr,smuc.ac.kr
186,상명대학교,http://www.smu.ac.kr,smu.ac.kr
187,상지대학교,http://www.sangji.ac.kr,sangji.ac.kr
188,상지영서대학교,http://www.sy.ac.kr,sy.ac.kr
189,서강대학교,http://www.sogang.ac.kr,sogang.ac.kr
190,서경대학교,http://www.skuniv.ac.kr,skuniv.ac.kr
191,서라벌대학교,http://home.sorabol.ac.kr,home.sorabol.ac.kr
192,서영대학교,http://www.seoyeong.ac.kr,seoyeong.ac.kr
193,서울과학기술대학교,http://www.seoultech.ac.kr,seoultech.ac.kr
194,서울교육대학교,http://www.snue.ac.kr,snue.ac.kr
195,서울기독대학교,http://www.scu.ac.kr,scu.ac.kr
196,서울대학교,http://www.snu.ac.kr/index.html,snu.ac.kr
197,서울디지털대학교,http://www.sdu.ac.kr,sdu.ac.kr
198,서울사이버대학교,http://www.iscu.ac.kr,iscu.ac.kr
199,서울시립대학교,http://www.uos.ac.kr,uos.ac.kr
200,서울신학대학교,http://www.stu.ac.kr,stu.ac.kr
201,서울여자간호대학교,http://www.snjc.ac.kr,snjc.ac.kr
202,서울여자대학교,http://www.swu.ac.kr,swu.ac.kr
203,서울예술대학교,http://www.seoularts.ac.kr,seoularts.ac.kr
204,서울장신대학교,http://www.sjs.ac.kr,sjs.ac.kr
205,서울한영대학교,http://www.hytu.ac.kr,hytu.ac.kr
206,서원대학교,http://www.seowon.ac.kr,seowon.ac.kr
207,서일대학교,http://www.seoil.ac.kr,seoil.ac.kr
208,서정대학교,http://www.seojeong.ac.kr,seojeong.ac.kr
209,서해대학,http://www.sohae.ac.kr,sohae.ac.kr
210,선린대학교,http://www.sunlin.ac.kr,sunlin.ac.kr
211,선문대학교,http://www.sunmoon.ac.kr,sunmoon.ac.kr
212,성결대학교,http://www.sungkyul.edu,sungkyul.edu
213,성공회대학교,http://www.skhu.ac.kr,skhu.ac.kr
214,성균관대학교,http://www.skku.edu,skku.edu
215,성덕대학교,http://www.sdc.ac.kr,sdc.ac.kr
216,성신여자대학교,http://www.sungshin.ac.kr,sungshin.ac.kr
217,세경대학교,http://www.saekyung.ac.kr,saekyung.ac.kr
218,세계사이버대학,http://www.world.ac.kr,world.ac.kr
219,세명대학교,http://www.semyung.ac.kr,semyung.ac.kr
220,세종대학교,http://www.sejong.ac.kr,sejong.ac.kr
221,세종사이버대학교,http://sjcu.ac.kr/,sjcu.ac.kr
222,세한대학교,http://www.sehan.ac.kr,sehan.ac.kr
223,세한대학교,http://www.sehan.ac.kr,sehan.ac.kr
224,송곡대학교,http://www.songgok.ac.kr,songgok.ac.kr
225,송원대학교,http://www.songwon.ac.kr,songwon.ac.kr
226,송호대학교,http://www.songho.ac.kr,songho.ac.kr
227,수성대학교,http://WWW.SC.AC.KR,sc.ac.kr
228,수원가톨릭대학교,http://www.suwoncatholic.ac.kr,suwoncatholic.ac.kr
229,수원과학대학교,http://www.ssc.ac.kr,ssc.ac.kr
230,수원대학교,http://suwon.ac.kr,suwon.ac.kr
231,수원여자대학교,http://www.swc.ac.kr/,swc.ac.kr
232,숙명여자대학교,http://www.sookmyung.ac.kr,sookmyung.ac.kr
233,순복음총회신학교,http://www.kcc.ac.kr,kcc.ac.kr
234,순천대학교,http://www.sunchon.ac.kr,sunchon.ac.kr
235,순천제일대학교,http://www.suncheon.ac.kr,suncheon.ac.kr
236,순천향대학교,http://www.sch.ac.kr,sch.ac.kr
237,숭실대학교,http://www.ssu.ac.kr,ssu.ac.kr
238,숭실사이버대학교,http://www.kcu.ac,kcu.ac.kr
239,숭의여자대학교,http://www.sewc.ac.kr,sewc.ac.kr
240,신경대학교,http://www.sgu.ac.kr/,sgu.ac.kr
241,신구대학교,http://www.shingu.ac.kr,shingu.ac.kr
242,신라대학교,http://www.silla.ac.kr,silla.ac.kr
243,신성대학교,http://www.shinsung.ac.kr,shinsung.ac.kr
244,신안산대학교,http://www.sau.ac.kr,sau.ac.kr
245,신한대학교,http://www.shinhan.ac.kr,shinhan.ac.kr
246,신한대학교,http://www.shinhan.ac.kr,shinhan.ac.kr
247,아세아연합신학대학교,http://www.acts.ac.kr,acts.ac.kr
248,아주대학교,http://www.ajou.ac.kr,ajou.ac.kr
249,아주자동차대학,http://motor.ac.kr,motor.ac.kr
250,안동과학대학교,http://www.asc.ac.kr,asc.ac.kr
251,안동대학교,http://www.andong.ac.kr/,andong.ac.kr
252,안산대학교,http://www.ansan.ac.kr,ansan.ac.kr
253,안양대학교,http://www.anyang.ac.kr,anyang.ac.kr
254,안양대학교,http://www.anyang.ac.kr,anyang.ac.kr
255,여주대학교,http://www.yit.ac.kr,yit.ac.kr
256,연성대학교,http://www.yeonsung.ac.kr,yeonsung.ac.kr
257,연세대학교,http://www.yonsei.ac.kr/wj,yonsei.ac.kr
258,연세대학교,http://www.yonsei.ac.kr,yonsei.ac.kr
259,연암공과대학교,http://www.yc.ac.kr,yc.ac.kr
260,연암대학교,http://www.yonam.ac.kr,yonam.ac.kr
261,영남대학교,http://www.yu.ac.kr,yu.ac.kr
262,영남사이버대학교,http://www.yncu.ac.kr,yncu.ac.kr
263,영남신학대학교,http://www.ytus.ac.kr,ytus.ac.kr
264,영남외국어대학,http://www.yflc.ac.kr,yflc.ac.kr
265,영남이공대학교,http://www.ync.ac.kr,ync.ac.kr
266,영산대학교,http://www.ysu.ac.kr,ysu.ac.kr
267,영산대학교,http://www.ysu.ac.kr,ysu.ac.kr
268,영산선학대학교,http://www.youngsan.ac.kr,youngsan.ac.kr
269,영진사이버대학교,http://www.ycc.ac.kr,ycc.ac.kr
270,영진전문대학교,http://www.yjc.ac.kr,yjc.ac.kr
271,예수대학교,http://www.jesus.ac.kr,jesus.ac.kr
272,예원예술대학교,http://www.yewon.ac.kr,yewon.ac.kr
273,예원예술대학교,http://www.yewon.ac.kr,yewon.ac.kr
274,오산대학교,http://www.osan.ac.kr,osan.ac.kr
275,용인대학교,http://www.yongin.ac.kr,yongin.ac.kr
276,용인송담대학교,http://ysc.ac.kr,ysc.ac.kr
277,우석대학교,http://www.woosuk.ac.kr,woosuk.ac.kr
278,우송대학교,http://www.wsu.ac.kr,wsu.ac.kr
279,우송정보대학,http://www.wsi.ac.kr,wsi.ac.kr
280,울산과학기술원,http://www.unist.ac.kr,unist.ac.kr
281,울산과학대학교,http://www.uc.ac.kr,uc.ac.kr
282,울산대학교,http://www.ulsan.ac.kr,ulsan.ac.kr
283,웅지세무대학교,http://www.wat.ac.kr,wat.ac.kr
284,원광대학교,http://www.wonkwang.ac.kr,wonkwang.ac.kr
285,원광디지털대학교,http://www.wdu.ac.kr,wdu.ac.kr
286,원광보건대학교,http://www.wu.ac.kr,wu.ac.kr
287,위덕대학교,http://www.uu.ac.kr,uu.ac.kr
288,유원대학교,http://www.U1.ac.kr,U1.ac.kr
289,유한대학교,http://www.yuhan.ac.kr,yuhan.ac.kr
290,육군3사관학교,http://www.kaay.mil.kr/kaay/2015/,kaay.mil.kr
291,육군사관학교,http://www.kma.ac.kr/,kma.ac.kr
292,을지대학교,http://www.eulji.ac.kr,eulji.ac.kr
293,을지대학교,http://www.eulji.ac.kr,eulji.ac.kr
294,이화여자대학교,http://www.ewha.ac.kr,ewha.ac.kr
295,인덕대학교,http://www.induk.ac.kr,induk.ac.kr
296,인제대학교,http://www.inje.ac.kr,inje.ac.kr
297,인제대학교,http://www.inje.ac.kr,inje.ac.kr
298,인천가톨릭대학교,http://www.iccu.ac.kr,iccu.ac.kr
299,인천가톨릭대학교,http://www.iccu.ac.kr,iccu.ac.kr
300,인천대학교,http://www.inu.ac.kr,inu.ac.kr
301,인천재능대학교,http://www.jeiu.ac.kr,jeiu.ac.kr
302,인하공업전문대학,http://www.inhatc.ac.kr,inhatc.ac.kr
303,인하대학교,http://www.inha.ac.kr,inha.ac.kr
304,장로회신학대학교,http://www.puts.ac.kr,puts.ac.kr
305,장안대학교,http://www.jangan.ac.kr,jangan.ac.kr
306,전남과학대학교,http://www.cntu.ac.kr,cntu.ac.kr
